id,timestamp,project_name,tap_chip,memories,rewards
1,1718668800,Hanoi,35,73,4
2,1718755200,Hanoi,49,38,14
3,1718928000,Hanoi,5,62,1
4,1719100800,Cantho,24,32,18
5,1719187200,Hanoi,10,20,16
6,1719360000,Danang,41,54,11
7,1719532800,Hanoi,22,2,19
8,1719619200,Saigon,31,35,14
9,1719878400,Cantho,6,94,4
10,1719878400,Danang,32,15,17
11,1720051200,Saigon,32,30,15
12,1720396800,Hue,44,57,8
13,1720483200,Danang,16,57,18
14,1720828800,Saigon,20,51,12
15,1721088000,Hanoi,17,36,3
16,1721260800,Danang,5,18,3
17,1721260800,Hanoi,32,130,22
18,1721347200,Hanoi,45,46,18
19,1721520000,Hue,5,79,2
20,1721692800,Danang,30,44,3
21,1721865600,Saigon,25,4,0
22,1721952000,Hanoi,22,41,16
23,1721952000,Hue,19,18,13
24,1721952000,Saigon,89,167,24
25,1722038400,Saigon,1,3,12
26,1722124800,Danang,16,13,2
27,1722211200,Hanoi,12,24,16
28,1722470400,Cantho,26,16,16
29,1722816000,Hue,37,19,18
30,1723161600,Hanoi,22,38,11
31,1723161600,Hue,41,12,19
32,1723420800,Cantho,13,49,17
33,1723593600,Saigon,2,22,17
34,1723766400,Hue,64,82,18
35,1724112000,Hanoi,36,9,3
36,1724284800,Danang,43,34,1
37,1724284800,Hanoi,13,52,16
38,1724371200,Hanoi,44,17,5
39,1724544000,Cantho,32,26,5
40,1724630400,Hanoi,25,52,4
41,1724716800,Saigon,5,8,5
42,1725062400,Danang,12,12,2
43,1725148800,Danang,49,32,14
44,1725148800,Hanoi,33,15,6
45,1725494400,Hue,23,58,16
46,1725580800,Danang,39,62,3
47,1725753600,Hanoi,34,28,5
48,1725926400,Hanoi,26,32,12
49,1726012800,Danang,34,52,2
50,1726531200,Hanoi,23,98,7
51,1726617600,Danang,29,68,0
52,1726617600,Saigon,20,68,18
53,1727136000,Saigon,13,97,10
54,1727222400,Hue,48,5,14
55,1727827200,Danang,22,57,15
56,1727913600,Cantho,8,74,6
57,1728259200,Hue,12,24,1
58,1728345600,Hanoi,33,92,18
59,1728432000,Hanoi,15,4,13
60,1728518400,Hanoi,35,95,3
61,1728950400,Danang,35,64,7
62,1729123200,Hanoi,29,59,12
63,1729123200,Hue,15,84,6
64,1729296000,Danang,44,75,1
65,1729382400,Danang,33,95,9
66,1729555200,Hue,48,176,23
67,1729641600,Hue,28,2,12
68,1729641600,Saigon,23,46,7
69,1729814400,Hue,34,69,10
70,1729987200,Cantho,1,90,10
71,1729987200,Danang,23,26,7
72,1730505600,Cantho,26,91,4
73,1730851200,Cantho,36,36,0
74,1731283200,Hanoi,30,12,1
75,1731369600,Cantho,36,10,1
76,1731369600,Hanoi,40,35,3
77,1731369600,Hue,49,17,4
78,1731456000,Hanoi,40,122,26
79,1731715200,Hue,36,46,5
80,1731801600,Cantho,26,91,17
81,1731888000,Danang,4,57,1
82,1731974400,Hue,45,94,18
83,1732147200,Hue,3,44,2
84,1732579200,Hue,32,15,11
85,1732752000,Saigon,5,0,0
86,1733184000,Cantho,8,15,3
87,1733270400,Saigon,12,23,11
88,1733529600,Cantho,9,4,2
89,1733788800,Hue,10,89,9
90,1733961600,Hanoi,9,70,1
91,1733961600,Hue,16,73,15
92,1734048000,Saigon,17,91,5
93,1734220800,Hanoi,56,98,15
94,1734566400,Cantho,47,35,10
95,1734566400,Hue,42,13,14
96,1734652800,Danang,8,72,11
97,1734652800,Hanoi,89,47,16
98,1734739200,Hue,24,8,13
99,1735430400,Hue,48,18,10
100,1735516800,Hue,35,41,5
101,1736380800,Saigon,22,149,21
102,1736467200,Saigon,33,31,16
103,1736640000,Hanoi,39,43,10
104,1736812800,Danang,12,11,14
105,1736899200,Saigon,37,75,6
106,1737158400,Danang,16,30,13
107,1737158400,Hanoi,23,56,0
108,1737244800,Danang,25,60,18
109,1737331200,Saigon,16,49,14
110,1737504000,Danang,31,91,3
111,1737504000,Hue,10,55,10
112,1737676800,Danang,73,39,12
113,1737676800,Hanoi,2,99,1
114,1737676800,Saigon,3,27,16
115,1738022400,Hanoi,21,57,14
116,1738108800,Danang,40,53,14
117,1738713600,Saigon,47,39,19
118,1738800000,Danang,1,44,1
119,1738800000,Hanoi,12,88,5
120,1738972800,Hanoi,21,65,15
121,1739145600,Hue,45,5,5
122,1739145600,Saigon,36,44,15
123,1739318400,Danang,49,76,8
124,1739491200,Saigon,39,89,7
125,1739577600,Cantho,11,81,4
126,1739750400,Danang,36,77,0
127,1739836800,Hue,23,51,7
128,1739923200,Hue,28,99,1
129,1740096000,Hanoi,6,16,17
130,1740182400,Hanoi,10,98,13
131,1740441600,Hanoi,29,66,3
132,1740700800,Cantho,1,56,12
133,1740700800,Saigon,30,5,4
134,1740787200,Cantho,48,48,5
135,1740787200,Hue,46,61,13
136,1740873600,Saigon,37,64,16
137,1740960000,Danang,24,14,14
138,1740960000,Hue,66,175,30
139,1741478400,Hue,20,56,2
140,1741564800,Hue,32,88,14
141,1741651200,Danang,25,24,5
142,1741651200,Hue,14,60,9
143,1741824000,Cantho,25,75,16
144,1741910400,Cantho,13,70,8
145,1742083200,Cantho,23,16,4
146,1742169600,Hue,2,0,10
147,1742342400,Danang,1,7,12
148,1742428800,Danang,19,82,4
149,1742601600,Hue,14,11,7
150,1742860800,Hue,12,27,14
151,1742947200,Hanoi,12,76,1
152,1743206400,Danang,5,17,13
153,1743638400,Hanoi,19,28,4
154,1743811200,Cantho,32,19,1
155,1744329600,Danang,19,37,9
156,1744675200,Hanoi,24,85,5
157,1744848000,Danang,26,83,9
158,1744934400,Hanoi,46,68,0
159,1745107200,Hanoi,34,74,14
160,1745280000,Hanoi,32,45,18
161,1745366400,Hue,37,60,0
162,1745366400,Saigon,1,82,12
163,1745452800,Danang,7,27,13
164,1745539200,Cantho,33,91,19
165,1745539200,Danang,29,71,17
166,1745625600,Cantho,4,34,12
167,1745625600,Danang,29,32,18
168,1745798400,Saigon,25,0,18
169,1745884800,Saigon,16,55,13
170,1746144000,Saigon,35,20,12
171,1746230400,Danang,13,26,9
172,1746403200,Cantho,30,4,16
173,1746403200,Saigon,26,7,9
174,1746489600,Danang,17,62,7
175,1746662400,Hanoi,19,22,11
176,1746748800,Hue,37,29,8
177,1746921600,Cantho,49,25,10
178,1747094400,Cantho,43,71,16
179,1747094400,Danang,49,80,3
180,1747180800,Hanoi,45,38,15
181,1747267200,Hanoi,42,65,18
182,1747353600,Hue,39,73,17
183,1747872000,Cantho,16,98,16
184,1748304000,Hue,35,63,14
185,1748649600,Hue,45,6,14
186,1748822400,Danang,28,38,5
187,1748995200,Danang,37,86,10
188,1749168000,Cantho,37,48,18
189,1749168000,Danang,49,52,14
190,1749600000,Hanoi,27,86,5
