id,timestamp,project_name,tap_chip,memories,rewards
1,1717200000,Cantho,24,32,18
2,1717200000,Danang,41,54,11
3,1717200000,Hanoi,121,195,54
4,1717200000,Saigon,31,35,14
5,1719792000,Cantho,6,94,4
6,1719792000,Danang,99,147,43
7,1719792000,Hanoi,128,277,75
8,1719792000,Hue,68,154,23
9,1719792000,Saigon,167,255,63
10,1722470400,Cantho,71,91,38
11,1722470400,Danang,55,46,3
12,1722470400,Hanoi,140,168,39
13,1722470400,Hue,142,113,55
14,1722470400,Saigon,7,30,22
15,1725148800,Danang,151,214,19
16,1725148800,Hanoi,116,173,30
17,1725148800,Hue,71,63,30
18,1725148800,Saigon,33,165,28
19,1727740800,Cantho,9,164,16
20,1727740800,Danang,157,317,39
21,1727740800,Hanoi,112,250,46
22,1727740800,Hue,137,355,52
23,1727740800,Saigon,23,46,7
24,1730419200,Cantho,124,228,22
25,1730419200,Danang,4,57,1
26,1730419200,Hanoi,110,169,30
27,1730419200,Hue,165,216,40
28,1730419200,Saigon,5,0,0
29,1733011200,Cantho,64,54,15
30,1733011200,Danang,8,72,11
31,1733011200,Hanoi,154,215,32
32,1733011200,Hue,175,242,66
33,1733011200,Saigon,29,114,16
34,1735689600,Danang,197,284,74
35,1735689600,Hanoi,85,255,25
36,1735689600,Hue,10,55,10
37,1735689600,Saigon,111,331,73
38,1738368000,Cantho,12,137,16
39,1738368000,Danang,86,197,9
40,1738368000,Hanoi,78,333,53
41,1738368000,Hue,96,155,13
42,1738368000,Saigon,152,177,45
43,1740787200,Cantho,109,209,33
44,1740787200,Danang,74,144,48
45,1740787200,Hanoi,12,76,1
46,1740787200,Hue,206,478,99
47,1740787200,Saigon,37,64,16
48,1743465600,Cantho,69,144,32
49,1743465600,Danang,110,250,66
50,1743465600,Hanoi,155,300,41
51,1743465600,Hue,37,60,0
52,1743465600,Saigon,42,137,43
53,1746057600,Cantho,138,198,58
54,1746057600,Danang,79,168,19
55,1746057600,Hanoi,106,125,44
56,1746057600,Hue,156,171,53
57,1746057600,Saigon,61,27,21
58,1748736000,Cantho,37,48,18
59,1748736000,Danang,114,176,29
60,1748736000,Hanoi,27,86,5
